gw,pos,web_name,team,price,role,in_xi,captain,vice,opponent
1,GKP,Raya,Arsenal,6.0,Starter,TRUE,FALSE,FALSE,COV(H)
1,GKP,Dovin,Coventry,,Bench,FALSE,FALSE,FALSE,ARS(A)
1,DEF,Virgil,Liverpool,6.5,Starter,TRUE,FALSE,FALSE,NEW(A)
1,DEF,Davis,Ipswich Town,,Starter,TRUE,FALSE,FALSE,SUN(H)
1,DEF,Gabriel,Arsenal,8.0,Starter,TRUE,FALSE,FALSE,COV(H)
1,DEF,Calafiori,Arsenal,5.5,Starter,TRUE,FALSE,FALSE,COV(H)
1,DEF,Thomas,Coventry,4.0,Bench,FALSE,FALSE,FALSE,ARS(A)
1,MID,Tavernier,Bournemouth,6.0,Starter,TRUE,FALSE,FALSE,MCI(A)
1,MID,B.Fernandes,Man Utd,12.0,Starter,TRUE,TRUE,FALSE,HUL(A)
1,MID,Anderson,Man City,6.5,Starter,TRUE,FALSE,FALSE,BOU(H)
1,MID,Sarr,Crystal Palace,6.5,Starter,TRUE,FALSE,FALSE,EVE(A)
1,MID,Ndiaye,Everton,6.0,Starter,TRUE,FALSE,FALSE,CRY(H)
1,FWD,Haaland,Man City,15.5,Starter,TRUE,FALSE,TRUE,BOU(H)
1,FWD,Kusi-Asare,Fulham,4.5,Bench,FALSE,FALSE,FALSE,CHE(H)
1,FWD,Furo,Brentford,4.5,Bench,FALSE,FALSE,FALSE,TOT(H)
