gw,pos,web_name,team_short,price,xp,role,in_xi,captain,opponent
1,GKP,Raya,ARS,6.0,3.94,Starter,TRUE,FALSE,
1,GKP,Forster,BOU,4.0,0.00,Bench,FALSE,FALSE,
1,DEF,Gabriel,ARS,8.0,5.26,Starter,TRUE,FALSE,
1,DEF,Virgil,LIV,6.5,4.99,Starter,TRUE,FALSE,
1,DEF,Guéhi,MCI,6.0,4.58,Starter,TRUE,FALSE,
1,DEF,Tarkowski,EVE,6.0,4.53,Starter,TRUE,FALSE,
1,DEF,Thomas,COV,4.0,0.00,Bench,FALSE,FALSE,
1,MID,B.Fernandes,MUN,12.0,5.74,Captain,TRUE,TRUE,
1,MID,Enzo,CHE,7.0,5.09,Starter,TRUE,FALSE,
1,MID,Rice,ARS,7.5,5.03,Starter,TRUE,FALSE,
1,MID,Semenyo,MCI,8.5,4.78,Starter,TRUE,FALSE,
1,MID,Anderson,MCI,6.5,4.76,Starter,TRUE,FALSE,
1,FWD,Thiago,BRE,8.0,5.05,Starter,TRUE,FALSE,
1,FWD,Furo,BRE,4.5,0.03,Bench,FALSE,FALSE,
1,FWD,Ferguson,BHA,5.0,0.00,Bench,FALSE,FALSE,
