gw,pos,web_name,team_short,price,xp,role,in_xi,captain
2,GKP,Raya,ARS,6.0,5.51,Starter,TRUE,FALSE
2,GKP,Martinez,AVL,5.0,0.00,Bench,FALSE,FALSE
2,DEF,De Cuyper,BHA,4.6,14.55,Captain,TRUE,TRUE
2,DEF,Guéhi,MCI,6.0,10.86,Starter,TRUE,FALSE
2,DEF,White,ARS,5.5,7.88,Starter,TRUE,FALSE
2,DEF,Kayode,BRE,4.6,7.46,Starter,TRUE,FALSE
2,DEF,Ajayi,HUL,4.0,7.20,Starter,TRUE,FALSE
2,MID,Rogers,CHE,7.5,8.54,Starter,TRUE,FALSE
2,MID,Lewis-Potter,BRE,5.5,8.44,Starter,TRUE,FALSE
2,MID,Szoboszlai,LIV,7.0,8.43,Starter,TRUE,FALSE
2,MID,Saka,ARS,9.5,7.45,Starter,TRUE,FALSE
2,MID,Maeda,IPS,5.5,7.04,Bench,FALSE,FALSE
2,FWD,Nketiah,CRY,5.5,6.57,Starter,TRUE,FALSE
2,FWD,Isak,LIV,9.0,6.56,Bench,FALSE,FALSE
2,FWD,Furo,BRE,4.5,0.00,Bench,FALSE,FALSE
